seller_id,month,total_orders,total_gmv,total_returns,avg_rating,avg_sentiment_score,pct_negative_reviews,review_count,return_rate,seller_name,category,region,return_rate_delta_vs_baseline,sentiment_delta_vs_baseline,trust_drift_flag,avg_response_time_hours
S0001,2024-01,22,1099.03,1,4.125,0.52125,0.0,8,0.045,Figueroa and Sons,Electronics,East,0.03,-0.061,0,7.0
S0001,2024-02,27,1414.27,0,4.266666666666667,0.6566666666666666,0.0,15,0.0,Figueroa and Sons,Electronics,East,-0.015,0.074,0,3.1
S0001,2024-03,23,1269.56,0,3.9166666666666665,0.5691666666666667,0.0,12,0.0,Figueroa and Sons,Electronics,East,-0.015,-0.013,0,6.4
S0001,2024-04,17,708.41,0,4.1,0.475,0.1,10,0.0,Figueroa and Sons,Electronics,East,-0.015,-0.107,0,6.7
S0001,2024-05,23,1372.66,0,4.5625,0.6681250000000001,0.0,16,0.0,Figueroa and Sons,Electronics,East,-0.015,0.086,0,1.5
S0001,2024-06,19,879.07,1,4.416666666666667,0.8166666666666668,0.0,12,0.053,Figueroa and Sons,Electronics,East,0.038,0.234,0,4.4
S0001,2024-07,18,1006.31,1,4.153846153846154,0.6492307692307692,0.0,13,0.056,Figueroa and Sons,Electronics,East,0.041,0.067,0,7.0
S0001,2024-08,22,1070.93,2,4.222222222222222,0.5566666666666666,0.0,9,0.091,Figueroa and Sons,Electronics,East,0.076,-0.026,0,7.3
S0001,2024-09,19,1274.76,0,4.0,0.4707142857142857,0.0,14,0.0,Figueroa and Sons,Electronics,East,-0.015,-0.112,0,5.0
S0001,2024-10,22,1169.65,2,4.25,0.5425,0.0,12,0.091,Figueroa and Sons,Electronics,East,0.076,-0.04,0,6.4
S0001,2024-11,19,929.06,0,4.666666666666667,0.6166666666666667,0.0,9,0.0,Figueroa and Sons,Electronics,East,-0.015,0.034,0,6.6
S0001,2024-12,15,896.52,0,4.444444444444445,0.6622222222222223,0.0,9,0.0,Figueroa and Sons,Electronics,East,-0.015,0.08,0,6.4
S0001,2025-01,21,1069.18,2,4.5625,0.684375,0.0,16,0.095,Figueroa and Sons,Electronics,East,0.08,0.102,0,8.2
S0001,2025-02,26,1351.27,0,4.5,0.7416666666666667,0.0,12,0.0,Figueroa and Sons,Electronics,East,-0.015,0.159,0,7.0
S0001,2025-03,21,1170.03,1,4.066666666666666,0.664,0.0,15,0.048,Figueroa and Sons,Electronics,East,0.033,0.082,0,7.4
S0001,2025-04,18,1049.68,0,4.470588235294118,0.7282352941176471,0.0,17,0.0,Figueroa and Sons,Electronics,East,-0.015,0.146,0,3.5
S0001,2025-05,19,1204.91,3,4.384615384615385,0.6915384615384615,0.0,13,0.158,Figueroa and Sons,Electronics,East,0.143,0.109,0,10.7
S0001,2025-06,20,881.92,0,4.166666666666667,0.5558333333333333,0.0,12,0.0,Figueroa and Sons,Electronics,East,-0.015,-0.027,0,3.3
S0001,2025-07,21,1040.72,2,4.071428571428571,0.5092857142857142,0.0,14,0.095,Figueroa and Sons,Electronics,East,0.08,-0.073,0,9.6
S0001,2025-08,15,684.93,3,4.0,0.57,0.0,12,0.2,Figueroa and Sons,Electronics,East,0.185,-0.012,0,11.3
S0001,2025-09,23,1095.36,2,3.2222222222222223,0.2055555555555555,0.1111111111111111,9,0.087,Figueroa and Sons,Electronics,East,0.072,-0.377,1,7.5
S0001,2025-10,18,857.69,0,3.5384615384615383,0.3269230769230769,0.0,13,0.0,Figueroa and Sons,Electronics,East,-0.015,-0.255,0,3.8
S0001,2025-11,26,1127.68,4,3.75,0.4325,0.0,16,0.154,Figueroa and Sons,Electronics,East,0.139,-0.15,0,12.1
S0001,2025-12,17,808.63,3,3.923076923076923,0.4507692307692308,0.0769230769230769,13,0.176,Figueroa and Sons,Electronics,East,0.161,-0.132,0,10.4
S0002,2024-01,21,985.51,0,4.25,0.64125,0.0,8,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,0.013,0,4.2
S0002,2024-02,24,1294.18,3,4.454545454545454,0.57,0.0,11,0.125,"Garcia, Yang and Gardner",Home & Kitchen,North,0.072,-0.058,0,8.4
S0002,2024-03,30,1454.48,1,4.4375,0.67375,0.0,16,0.033,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.02,0.045,0,7.0
S0002,2024-04,28,1329.88,1,4.533333333333333,0.6813333333333333,0.0,15,0.036,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.017,0.053,0,6.8
S0002,2024-05,37,1608.82,1,4.4,0.5650000000000001,0.05,20,0.027,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.026,-0.063,0,6.6
S0002,2024-06,23,1004.58,2,4.1,0.524,0.0,10,0.087,"Garcia, Yang and Gardner",Home & Kitchen,North,0.034,-0.104,0,8.6
S0002,2024-07,25,1273.51,0,4.266666666666667,0.588,0.0,15,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,-0.04,0,8.9
S0002,2024-08,10,495.98,2,4.266666666666667,0.6126666666666666,0.0,15,0.2,"Garcia, Yang and Gardner",Home & Kitchen,North,0.147,-0.016,0,10.7
S0002,2024-09,25,1409.37,2,4.3,0.658,0.0,10,0.08,"Garcia, Yang and Gardner",Home & Kitchen,North,0.027,0.03,0,6.6
S0002,2024-10,21,1000.64,0,4.578947368421052,0.6305263157894737,0.0,19,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,0.002,0,3.5
S0002,2024-11,27,1203.99,2,4.230769230769231,0.6476923076923077,0.0,13,0.074,"Garcia, Yang and Gardner",Home & Kitchen,North,0.021,0.019,0,8.5
S0002,2024-12,30,1468.48,1,4.541666666666667,0.6595833333333333,0.0,24,0.033,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.02,0.031,0,8.1
S0002,2025-01,21,997.07,1,4.533333333333333,0.666,0.0,15,0.048,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.005,0.038,0,6.3
S0002,2025-02,24,986.99,1,4.7,0.7350000000000001,0.0,10,0.042,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.011,0.107,0,4.8
S0002,2025-03,29,1527.72,1,4.45,0.63,0.0,20,0.034,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.019,0.002,0,4.6
S0002,2025-04,29,1418.25,3,4.5,0.7125,0.0,12,0.103,"Garcia, Yang and Gardner",Home & Kitchen,North,0.05,0.084,0,9.5
S0002,2025-05,32,1606.87,1,4.521739130434782,0.6852173913043478,0.0,23,0.031,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.022,0.057,0,7.3
S0002,2025-06,23,890.87,0,4.538461538461538,0.6892307692307692,0.0,13,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,0.061,0,6.0
S0002,2025-07,28,1438.54,2,4.411764705882353,0.6158823529411765,0.0,17,0.071,"Garcia, Yang and Gardner",Home & Kitchen,North,0.018,-0.012,0,6.1
S0002,2025-08,19,1003.21,0,4.0,0.4885714285714285,0.0714285714285714,14,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,-0.14,0,5.4
S0002,2025-09,24,940.9,0,4.2727272727272725,0.6736363636363637,0.0,11,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,0.045,0,5.2
S0002,2025-10,18,960.19,1,4.75,0.7366666666666667,0.0,12,0.056,"Garcia, Yang and Gardner",Home & Kitchen,North,0.003,0.108,0,7.2
S0002,2025-11,20,829.82,1,3.9166666666666665,0.5708333333333333,0.0833333333333333,12,0.05,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.003,-0.057,0,8.2
S0002,2025-12,20,991.59,0,4.2727272727272725,0.7045454545454546,0.0,11,0.0,"Garcia, Yang and Gardner",Home & Kitchen,North,-0.053,0.076,0,5.4
S0003,2024-01,34,1937.49,9,3.625,0.415,0.125,8,0.265,Johnson and Sons,Automotive,North,0.086,0.172,0,14.7
S0003,2024-02,33,1423.5,9,2.774193548387097,-0.0338709677419354,0.3870967741935484,31,0.273,Johnson and Sons,Automotive,North,0.094,-0.276,1,13.9
S0003,2024-03,33,1684.28,0,3.647058823529412,0.3464705882352941,0.2352941176470588,17,0.0,Johnson and Sons,Automotive,North,-0.179,0.104,0,5.5
S0003,2024-04,31,1494.67,0,4.285714285714286,0.5723809523809523,0.0,21,0.0,Johnson and Sons,Automotive,North,-0.179,0.33,0,6.1
S0003,2024-05,35,1672.33,9,4.176470588235294,0.5935294117647059,0.0,17,0.257,Johnson and Sons,Automotive,North,0.078,0.351,0,10.6
S0003,2024-06,43,2054.71,3,3.9130434782608696,0.542608695652174,0.0,23,0.07,Johnson and Sons,Automotive,North,-0.109,0.3,0,6.7
S0003,2024-07,43,2090.25,3,3.75,0.3314285714285714,0.0714285714285714,28,0.07,Johnson and Sons,Automotive,North,-0.109,0.089,0,6.4
S0003,2024-08,41,1954.28,2,3.88,0.4832,0.08,25,0.049,Johnson and Sons,Automotive,North,-0.13,0.241,0,5.4
S0003,2024-09,48,2175.86,4,3.2,0.1236,0.16,25,0.083,Johnson and Sons,Automotive,North,-0.096,-0.119,0,7.2
S0003,2024-10,25,1190.84,6,2.9545454545454546,-0.029090909090909,0.2727272727272727,22,0.24,Johnson and Sons,Automotive,North,0.061,-0.272,1,15.4
S0003,2024-11,23,976.67,11,2.8823529411764706,-0.1417647058823529,0.4705882352941176,17,0.478,Johnson and Sons,Automotive,North,0.299,-0.384,1,18.7
