review_id,order_id,seller_id,customer_id,review_date,rating,review_text,sentiment_label,sentiment_score
REV0000001,O0009554,S0014,C006944,2025-09-03 00:00:00,4,"Product exceeded my expectations, smooth transaction.",positive,0.59
REV0000001,O0030281,S0042,C019835,2025-08-09 00:00:00,4,"Exactly as described, arrived quickly. Very happy with this purchase.",positive,0.66
REV0000001,O0030065,S0042,C004989,2025-02-25 00:00:00,3,"Product is fine, packaging could have been better.",neutral,-0.01
REV0000001,O0031569,S0045,C016295,2024-04-24 00:00:00,4,Packaging was solid and the item works perfectly.,positive,0.79
REV0000001,O0022634,S0031,C018593,2025-03-26 00:00:00,4,"Great quality for the price, would buy from this seller again.",positive,0.86
REV0000001,O0028503,S0039,C011838,2025-07-13 00:00:00,3,"Item is okay, nothing special but does the job.",neutral,0.07
REV0000001,O0006338,S0010,C000941,2025-07-31 00:00:00,4,FAST SHIPPING AND THE PRODUCT MATCHES THE LISTING PHOTOS.,positive,0.86
REV0000001,O0015845,S0022,C020970,2025-10-06 00:00:00,4,FAST SHIPPING AND THE PRODUCT MATCHES THE LISTING PHOTOS.,positive,0.94
REV0000001,O0032618,S0046,C002202,2024-05-04 00:00:00,4,Packaging was solid and the item works perfectly.,positive,0.93
REV0000001,O0023599,S0032,C012125,2025-09-19 00:00:00,4,"Great quality for the price, would buy from this seller again.",positive,0.55
REV0000001,O0005888,S0010,C019384,2024-08-20 00:00:00,3,"Works as expected, would not necessarily buy again.",neutral,0.11
REV0000001,O0012775,S0018,C008390,2025-09-21 00:00:00,3,DECENT QUALITY BUT A BIT OVERPRICED FOR WHAT IT IS.,neutral,-0.11
REV0000001,O0017909,S0025,C015694,2025-04-13 00:00:00,2,Seller did not respond to my messages about a missing part.,negative,-0.51
REV0000001,O0001056,S0002,C022817,2025-11-09 00:00:00,4,"Really impressed, seller communicated well throughout.",positive,0.82
REV0000001,O0037080,S0052,C005277,2024-06-09 00:00:00,4,"Exactly as described, arrived quickly. Very happy with this purchase.",positive,0.69
REV0000001,O0031058,S0044,C024734,2024-09-03 00:00:00,4,"Exactly as described, arrived quickly. Very happy with this purchase.",positive,0.86
REV0000001,O0015866,S0022,C018831,2025-11-04 00:00:00,5,"Really impressed, seller communicated well throughout.",positive,0.92
REV0000001,O0042355,S0059,C009165,2025-07-07 00:00:00,3,"Product is fine, packaging could have been better.",neutral,0.11
REV0000001,O0002507,S0004,C011190,2025-10-13 00:00:00,4,Packaging was solid and the item works perfectly.,positive,0.63
REV0000001,O0041350,S0058,C006406,2025-01-10 00:00:00,2,Seller did not respond to my messages about a missing part.,negative,-0.67
REV0000001,O0020913,S0029,C023513,2024-10-25 00:00:00,3,"Item is okay, nothing special but does the job.",neutral,0.13
REV0000001,O0041979,S0059,C018316,2024-05-17 00:00:00,3,"Average experience, took a bit longer than expected to arrive.",neutral,-0.01
REV0000001,O0007165,S0011,C017220,2025-05-03 00:00:00,5,Fast shipping and the product matches the listing photos.,positive,0.67
REV0000001,O0031135,S0044,C013274,2025-01-07 00:00:00,4,"Great quality for the price, would buy from this seller again.",positive,0.44
REV0000001,O0028361,S0039,C004694,2024-09-20 00:00:00,3,"Item is okay, nothing special but does the job.",neutral,-0.09
REV0000001,O0009964,S0015,C019053,2024-09-27 00:00:00,5,Packaging was solid and the item works perfectly.,positive,0.72
REV0000001,O0029225,S0041,C023016,2024-04-04 00:00:00,4,"Five stars, no complaints at all.",positive,0.55
