return_id,order_id,seller_id,return_date,return_reason,refund_amount,return_status
R0000193,O0002067,S0004,2024-04-04,Size/fit issue,35.74,Completed
R0000965,O0011981,S0017,2025-04-28,Quality below expectation,49.86,Complete
R0003961,O0039067,S0054,2025-10-04,Quality below expectation,24.41,Completed
R0003969,O0039103,S0054,2025-10-12,Wrong item shipped,41.69,Completed
R0004063,O0040302,S0057,2024-06-30,Missing parts/accessories,18.16,Completed
R0001550,O0017877,S0025,2025-03-28,Missing parts/accessories,66.25,Rejected
R0003514,O0035407,S0050,2024-05-02,Size/fit issue,53.76,Completed
R0004230,O0041469,S0058,2025-03-17,Item not as described,24.37,Pending
R0001119,O0013490,S0019,2025-04-14,Changed my mind,52.86,Pending
R0002414,O0026206,S0036,2024-10-04,Better price found elsewhere,25.95,Completed
R0000645,O0006881,S0011,2024-10-02,Changed my mind,43.64,Completed
R0001848,O0020828,S0029,2024-07-31,Size/fit issue,96.61,Complete
R0002535,O0027534,S0038,2024-01-17,Quality below expectation,72.59,Complete
R0004205,O0041165,S0058,2024-07-28,Missing parts/accessories,107.91,Rejected
R0000021,O0000456,S0001,2025-11-17,Changed my mind,65.23,Completed
R0001288,O0015212,S0022,2024-05-25,Item not as described,46.98,Completed
R0004040,O0039908,S0056,2025-03-07,Better price found elsewhere,11.04,Completed
R0000044,O0000831,S0002,2025-03-02,Size/fit issue,22.34,Complete
R0003605,O0036008,S0050,2026-01-08,Counterfeit suspected,30.37,Completed
R0001097,O0013204,S0019,2024-09-27,Missing parts/accessories,83.49,Completed
R0001174,O0014520,S0021,2024-03-24,Unknown,49.84,Completed
R0001664,O0018491,S0026,2025-01-19,Better price found elsewhere,34.82,Complete
R0002626,O0028422,S0039,2025-02-23,Damaged on arrival,38.38,Completed
R0002487,O0027101,S0037,2024-09-01,Quality below expectation,69.92,Completed
R0001659,O0018418,S0026,2024-10-15,Better price found elsewhere,41.93,Complete
R0001692,O0018673,S0026,2025-10-17,Quality below expectation,64.09,Complete
R0004129,O0040764,S0057,2025-08-25,Damaged on arrival,53.54,Completed
R0003235,O0033871,S0047,2025-11-04,Size/fit issue,40.27,Completed
R0003290,O0034472,S0048,2025-09-20,Size/fit issue,13.14,Completed
R0001922,O0021620,S0030,2024-07-09,Item not as described,17.07,Completed
R0000260,O0003137,S0005,2025-08-23,Changed my mind,55.23,Pending
R0004215,O0041362,S0058,2025-01-12,Damaged on arrival,65.23,Completed
R0001358,O0015935,S0022,2025-11-29,Counterfeit suspected,52.4,Completed
R0001649,O0018360,S0026,2024-07-30,Quality below expectation,24.79,Rejected
R0001957,O0021951,S0030,2025-03-26,Size/fit issue,24.3,Completed
R0003908,O0038852,S0054,2025-05-01,Missing parts/accessories,40.31,Completed
R0000356,O0004227,S0007,2024-02-18,Missing parts/accessories,65.29,Completed
R0003477,O0035218,S0049,2025-10-21,Counterfeit suspected,23.89,Completed
R0003261,O0034164,S0048,2024-10-19,Unknown,39.85,Completed
R0003467,O0035162,S0049,2025-09-08,Item not as described,13.06,Completed
R0000468,O0005578,S0010,2024-02-02,Unknown,20.31,Completed
R0000046,O0000868,S0002,2025-05-17,Item not as described,21.42,Completed
R0003339,O0034703,S0049,2024-06-28,Changed my mind,42.76,Complete
R0002502,O0027193,S0037,2024-12-04,Size/fit issue,43.02,Completed
R0004404,O0042576,S0060,2024-02-15,Item not as described,67.5,Completed
R0003141,O0032582,S0046,2024-04-28,Changed my mind,19.5,Completed
R0001985,O0022518,S0031,2024-10-09,Damaged on arrival,36.25,Rejected
R0002518,O0027417,S0037,2025-09-30,Unknown,52.56,Completed
R0003968,O0039101,S0054,2025-10-23,Unknown,92.02,Completed
R0000440,O0005208,S0009,2024-08-06,Late delivery,43.94,Completed
R0002947,O0030457,S0042,2025-12-20,Counterfeit suspected,70.69,Completed
R0000043,O0000806,S0002,2025-01-29,Better price found elsewhere,53.0,Completed
R0001161,O0014363,S0020,2025-08-10,Late delivery,42.5,Completed
R0000129,O0001584,S0003,2025-03-01,Size/fit issue,51.92,Completed
R0002388,O0026057,S0036,2024-05-24,Quality below expectation,33.34,Completed
R0003006,O0031477,S0045,2024-02-02,Quality below expectation,117.0,Complete
R0000032,O0000574,S0002,2024-04-28,Changed my mind,15.17,Completed
R0001828,O0020703,S0029,2024-03-24,Damaged on arrival,63.56,Completed
R0002962,O0030794,S0043,2025-07-25,Unknown,9.42,Completed
R0003951,O0039026,S0054,2025-08-27,Size/fit issue,36.0,Completed
R0002491,O0027142,S0037,2024-11-12,Damaged on arrival,71.45,Completed
R0000958,O0011946,S0017,2025-03-30,Changed my mind,50.49,Completed
R0001005,O0012385,S0018,2024-06-01,Damaged on arrival,29.75,Completed
R0002800,O0029152,S0040,2025-11-28,Quality below expectation,81.9,Pending
R0000228,O0002569,S0004,2025-11-18,Damaged on arrival,32.76,Completed
R0002586,O0028205,S0038,2025-12-22,Unknown,41.61,Completed
R0000306,O0003825,S0006,2025-03-18,Quality below expectation,36.95,Rejected
R0000150,O0001697,S0003,2025-04-28,Changed my mind,14.95,Completed
R0000411,O0004906,S0008,2025-04-22,Counterfeit suspected,51.02,Pending
R0003649,O0036260,S0051,2024-08-14,Better price found elsewhere,41.28,Complete
R0001031,O0012525,S0018,2024-10-27,Damaged on arrival,70.41,Completed
R0002473,O0027000,S0037,2024-05-11,Missing parts/accessories,20.26,Completed
R0004152,O0040848,S0057,2025-11-17,Quality below expectation,39.21,Pending
R0001988,O0022588,S0031,2025-02-20,Better price found elsewhere,75.97,Completed
R0004268,O0041638,S0058,2025-08-02,Missing parts/accessories,28.58,Complete
R0000669,O0007365,S0011,2025-10-12,Item not as described,55.19,Completed
R0000020,O0000427,S0001,2025-09-13,Size/fit issue,65.1,Complete
R0002687,O0028654,S0040,2024-03-24,Wrong item shipped,42.75,Completed
R0001638,O0018266,S0026,2024-03-25,Quality below expectation,134.95,Complete
R0003882,O0038728,S0054,2025-01-20,Better price found elsewhere,18.46,Complete
R0003091,O0032160,S0045,2025-07-11,Changed my mind,57.62,Pending
R0002260,O0025060,S0034,2025-09-26,Quality below expectation,43.11,Completed
R0001918,O0021579,S0030,2024-05-20,Wrong item shipped,32.64,Completed
R0001133,O0013904,S0020,2024-02-12,Changed my mind,28.97,Pending
R0000643,O0006868,S0011,2024-08-27,Changed my mind,99.25,Rejected
R0003783,O0038400,S0054,2024-04-15,Quality below expectation,34.57,Complete
R0000253,O0003049,S0005,2025-05-03,Size/fit issue,39.69,Completed
R0003932,O0038938,S0054,2025-06-21,Damaged on arrival,54.55,Completed
R0001281,O0015191,S0022,2024-06-17,Better price found elsewhere,39.96,Pending
R0001808,O0020426,S0028,2025-09-21,Late delivery,73.7,Completed
R0001573,O0017981,S0025,2025-07-13,Changed my mind,46.24,Rejected
R0004305,O0042072,S0059,2024-08-31,Late delivery,106.24,Complete
R0003860,O0038646,S0054,2024-10-20,Better price found elsewhere,15.73,Completed
R0003869,O0038695,S0054,2025-01-08,Item not as described,59.07,Completed
R0001442,O0017085,S0024,2024-10-06,Changed my mind,40.02,Pending
R0000959,O0011952,S0017,2025-03-09,Counterfeit suspected,66.58,Pending
R0000866,O0010553,S0016,2024-04-18,Changed my mind,21.79,Complete
R0001626,O0018204,S0025,2026-01-08,Damaged on arrival,58.17,Completed
R0003337,O0034695,S0049,2024-05-20,Wrong item shipped,54.2,Completed
R0000188,O0001958,S0003,2025-12-10,Quality below expectation,69.36,Completed
R0001665,O0018533,S0026,2025-04-16,Changed my mind,50.22,Completed
R0001466,O0017473,S0025,2024-02-25,Missing parts/accessories,114.78,Completed
R0002060,O0023460,S0032,2025-06-26,Counterfeit suspected,51.9,Pending
R0001527,O0017784,S0025,2025-01-20,Wrong item shipped,53.49,Completed
R0001671,O0018571,S0026,2025-05-20,Item not as described,48.0,Completed
R0003233,O0033846,S0047,2025-09-24,Damaged on arrival,21.03,Completed
R0002486,O0027096,S0037,2024-08-22,Wrong item shipped,43.67,Completed
R0003463,O0035149,S0049,2025-07-24,Damaged on arrival,56.31,Completed
R0002612,O0028356,S0039,2024-09-28,Damaged on arrival,38.77,Completed
R0002322,O0025458,S0035,2024-11-01,Quality below expectation,35.98,Completed
R0002375,O0025905,S0036,2024-01-21,Changed my mind,36.69,Complete
R0000734,O0008569,S0013,2024-07-03,Quality below expectation,21.6,Completed
R0001225,O0014900,S0021,2025-08-10,Wrong item shipped,38.36,Completed
R0004100,O0040622,S0057,2025-04-29,Damaged on arrival,35.65,Completed
R0000034,O0000636,S0002,2024-06-09,Size/fit issue,30.4,Completed
R0004324,O0042254,S0059,2025-02-27,Counterfeit suspected,72.51,Complete
R0003897,O0038801,S0054,2025-02-07,Quality below expectation,83.54,Completed
R0001754,O0019274,S0027,2025-05-18,Unknown,34.16,Completed
R0001982,O0022426,S0031,2024-07-07,Size/fit issue,48.64,Completed
R0003005,O0031466,S0045,2024-02-12,Better price found elsewhere,89.27,Complete
R0004392,O0042547,S0060,2024-02-01,Quality below expectation,79.87,Pending
R0002628,O0028433,S0039,2025-03-11,Wrong item shipped,90.0,Completed
R0000378,O0004398,S0007,2025-01-07,Damaged on arrival,42.45,Complete
R0001084,O0013086,S0019,2024-06-13,Damaged on arrival,48.84,Completed
R0002980,O0031082,S0044,2024-09-30,Damaged on arrival,17.94,Completed
R0003664,O0036350,S0051,2024-11-01,Wrong item shipped,56.05,Pending
R0000684,O0007664,S0012,2024-04-23,Quality below expectation,19.83,Completed
R0000084,O0001309,S0003,2024-07-29,Size/fit issue,121.7,Completed
R0002751,O0028927,S0040,2025-02-07,Quality below expectation,62.94,Completed
R0001928,O0021697,S0030,2024-09-10,Item not as described,17.95,Completed
R0002724,O0028814,S0040,2024-11-02,Late delivery,35.98,Completed
R0002563,O0027864,S0038,2025-01-19,Changed my mind,54.05,Pending
R0003080,O0032029,S0045,2025-03-27,Missing parts/accessories,55.56,Completed
