review_id,seller_id,category,review_date,rating,review_text,sentiment_score,sentiment_category
REV00001,Apex Electronics,Electronics,2025-07-02,5,"Excellent phone, battery lasts 2 days!",0.72,Positive
REV00002,Apex Electronics,Electronics,2025-07-03,5,"Highly recommend this gadget, works flawlessly.",0.31,Positive
REV00003,Apex Electronics,Electronics,2025-07-03,4,Very fast processor and crystal clear screen.,0.41,Positive
REV00004,Apex Electronics,Electronics,2025-07-14,4,"Excellent phone, battery lasts 2 days!",0.52,Positive
REV00005,Apex Electronics,Electronics,2025-07-09,5,Solid build and easy set up.,0.42,Positive
REV00006,Apex Electronics,Electronics,2025-07-12,4,Solid build and easy set up.,0.61,Positive
REV00007,Apex Electronics,Electronics,2025-07-16,4,"Excellent phone, battery lasts 2 days!",0.36,Positive
REV00008,Apex Electronics,Electronics,2025-07-17,5,Very fast processor and crystal clear screen.,0.71,Positive
REV00009,Apex Electronics,Electronics,2025-07-20,4,Solid build and easy set up.,0.6,Positive
REV00010,Apex Electronics,Electronics,2025-07-24,4,Solid build and easy set up.,0.41,Positive
REV00011,Apex Electronics,Electronics,2025-07-26,5,Solid build and easy set up.,0.35,Positive
REV00012,Apex Electronics,Electronics,2025-07-26,5,Very fast processor and crystal clear screen.,0.42,Positive
REV00013,Apex Electronics,Electronics,2025-07-30,4,"Highly recommend this gadget, works flawlessly.",0.78,Positive
REV00014,Apex Electronics,Electronics,2025-08-04,5,Very fast processor and crystal clear screen.,0.34,Positive
REV00015,Apex Electronics,Electronics,2025-08-01,5,"Amazing sound quality, best headphones ever.",0.74,Positive
REV00016,Apex Electronics,Electronics,2025-08-07,5,Very fast processor and crystal clear screen.,0.34,Positive
REV00017,Apex Electronics,Electronics,2025-08-06,4,"Highly recommend this gadget, works flawlessly.",0.74,Positive
REV00018,Apex Electronics,Electronics,2025-08-09,4,"Excellent phone, battery lasts 2 days!",0.68,Positive
REV00019,Apex Electronics,Electronics,2025-08-15,5,"Highly recommend this gadget, works flawlessly.",0.56,Positive
REV00020,Apex Electronics,Electronics,2025-08-15,4,Solid build and easy set up.,0.32,Positive
REV00021,Apex Electronics,Electronics,2025-08-18,4,"Excellent phone, battery lasts 2 days!",0.61,Positive
REV00022,Apex Electronics,Electronics,2025-08-20,5,Solid build and easy set up.,0.4,Positive
REV00023,Apex Electronics,Electronics,2025-08-20,5,"Amazing sound quality, best headphones ever.",0.78,Positive
REV00024,Apex Electronics,Electronics,2025-08-22,5,Solid build and easy set up.,0.41,Positive
REV00025,Apex Electronics,Electronics,2025-08-29,5,Solid build and easy set up.,0.82,Positive
REV00026,Apex Electronics,Electronics,2025-08-28,4,Solid build and easy set up.,0.3,Positive
REV00027,Apex Electronics,Electronics,2025-08-27,3,"Product is okay, nothing special.",-0.01,Neutral
REV00028,Apex Electronics,Electronics,2025-09-05,5,Very fast processor and crystal clear screen.,0.88,Positive
REV00029,Apex Electronics,Electronics,2025-09-04,3,"Product is okay, nothing special.",0.01,Neutral
REV00030,Apex Electronics,Electronics,2025-09-06,5,"Excellent phone, battery lasts 2 days!",0.32,Positive
REV00031,Apex Electronics,Electronics,2025-09-15,5,"Amazing sound quality, best headphones ever.",0.45,Positive
REV00032,Apex Electronics,Electronics,2025-09-11,5,"Highly recommend this gadget, works flawlessly.",0.7,Positive
REV00033,Apex Electronics,Electronics,2025-09-12,4,"Highly recommend this gadget, works flawlessly.",0.74,Positive
REV00034,Apex Electronics,Electronics,2025-09-22,5,"Highly recommend this gadget, works flawlessly.",0.41,Positive
REV00035,Apex Electronics,Electronics,2025-09-21,4,"Excellent phone, battery lasts 2 days!",0.71,Positive
REV00036,Apex Electronics,Electronics,2025-09-21,4,Very fast processor and crystal clear screen.,0.31,Positive
REV00037,Apex Electronics,Electronics,2025-09-25,4,Very fast processor and crystal clear screen.,0.37,Positive
REV00038,Apex Electronics,Electronics,2025-09-27,4,"Amazing sound quality, best headphones ever.",0.85,Positive
REV00039,Apex Electronics,Electronics,2025-09-29,4,"Highly recommend this gadget, works flawlessly.",0.7,Positive
REV00040,Apex Electronics,Electronics,2025-10-02,5,Solid build and easy set up.,0.68,Positive
REV00041,Apex Electronics,Electronics,2025-10-01,3,"Took a bit long to ship, but works fine.",0.19,Neutral
REV00042,Apex Electronics,Electronics,2025-10-01,3,Average quality for the price.,0.26,Neutral
REV00043,Apex Electronics,Electronics,2025-10-10,5,"Amazing sound quality, best headphones ever.",0.72,Positive
REV00044,Apex Electronics,Electronics,2025-10-09,4,"Excellent phone, battery lasts 2 days!",0.69,Positive
REV00045,Apex Electronics,Electronics,2025-10-13,5,Solid build and easy set up.,0.44,Positive
REV00046,Apex Electronics,Electronics,2025-10-20,4,Very fast processor and crystal clear screen.,0.52,Positive
REV00047,Apex Electronics,Electronics,2025-10-18,4,"Amazing sound quality, best headphones ever.",0.88,Positive
REV00048,Apex Electronics,Electronics,2025-10-16,4,"Amazing sound quality, best headphones ever.",0.54,Positive
REV00049,Apex Electronics,Electronics,2025-10-23,4,Very fast processor and crystal clear screen.,0.31,Positive
REV00050,Apex Electronics,Electronics,2025-10-26,5,Solid build and easy set up.,0.69,Positive
REV00051,Apex Electronics,Electronics,2025-10-27,5,"Highly recommend this gadget, works flawlessly.",0.88,Positive
REV00052,Apex Electronics,Electronics,2025-11-02,5,"Amazing sound quality, best headphones ever.",0.63,Positive
REV00053,Apex Electronics,Electronics,2025-10-31,5,"Amazing sound quality, best headphones ever.",0.64,Positive
